ID, X, Y,Z,first_z, last_z, VOL, INTENSITY, TEXTURE, CONVEXITY, SHAPE, ECCENTRICITY, BENDING_ENERGY, RADIUS_VAR, INSIDE_GRAD, BORDER_GRAD, PERI, SHARE_BORDER, ORIENTATION, INT_RATIO, DEPTH, POLARS, STDV, SKEW, ENERGY, ENTROPY, MIN_CURV, MED_CURV, PCNT_CONCAVITY
 15, 142, 183, 65, 62, 70, 408.00, 56.00, 38.40, 0.00, 0.49, 0.00, 0.00, 0.67, 17.04, 20.99, 225.00, 0.09, 0.00, 0.92, 9.00, 1.00, 9.55, 0.62, 1766.00, 0.00, 0.00, 0.00, 0.00
 16, 139, 186, 80, 69, 95, 3953.00, 62.00, 44.48, 0.92, 1.22, 2.23, 1.93, 2.93, 21.75, 27.58, 1414.00, 0.03, 0.20, 0.83, 27.00, 1.00, 14.76, 0.36, 189427.00, 0.00, 0.00, 0.00, 0.00
 17, 159, 191, 74, 60, 87, 1945.00, 65.00, 43.34, 1.36, 1.39, 2.91, 1.72, 3.39, 22.12, 32.70, 918.00, 0.06, 1.18, 0.79, 28.00, 1.00, 12.29, 0.40, 40234.00, 0.00, 0.00, 0.00, 0.00
 18, 140, 192, 88, 80, 96, 1350.00, 54.00, 37.88, 1.12, 0.77, 1.40, 1.54, 1.92, 16.21, 19.38, 586.00, 0.17, 2.55, 0.91, 17.00, 1.00, 8.49, 0.41, 30303.00, 0.00, 0.00, 0.00, 0.00
 19, 390, 194, 136, 130, 144, 815.00, 53.00, 35.86, 2.81, 0.68, 1.72, 1.39, 1.52, 14.97, 21.22, 407.00, 0.00, 2.16, 0.89, 15.00, 1.00, 8.51, 0.33, 9750.00, 0.00, 0.00, 0.00, 0.00
 20, 169, 197, 63, 54, 71, 822.00, 70.00, 45.00, 0.00, 0.75, 0.00, 0.00, 1.96, 24.89, 38.59, 423.00, 0.06, 0.00, 0.83, 18.00, 2.00, 15.26, 0.72, 5895.00, 0.00, 0.00, 0.00, 0.00
 21, 134, 205, 76, 56, 95, 3538.00, 64.00, 41.29, 1.10, 1.65, 2.33, 1.46, 5.39, 20.66, 30.85, 1459.00, 0.02, 0.98, 0.80, 40.00, 2.00, 13.07, 0.83, 164001.00, 0.00, 0.00, 0.00, 0.00
 22, 145, 205, 82, 76, 91, 901.00, 69.00, 44.94, 0.00, 0.66, 0.00, 0.00, 1.84, 24.43, 32.58, 435.00, 0.04, 0.00, 0.77, 16.00, 2.00, 14.08, 0.38, 8010.00, 0.00, 0.00, 0.00, 0.00
 23, 144, 206, 71, 67, 75, 426.00, 65.00, 44.85, 0.00, 0.53, 0.00, 0.00, 0.72, 22.86, 25.81, 243.00, 0.14, 0.00, 0.87, 9.00, 1.00, 12.36, 0.55, 1693.00, 0.00, 0.00, 0.00, 0.00
 24, 25, 207, 144, 138, 149, 823.00, 72.00, 39.57, 1.41, 0.49, 1.19, 1.12, 0.95, 22.56, 35.32, 366.00, 0.00, 1.77, 0.83, 12.00, 1.00, 16.02, 0.31, 4389.00, 0.00, 0.00, 0.00, 0.00
 25, 2, 211, 144, 138, 149, 395.00, 60.00, 38.23, 0.00, 0.61, 0.00, 0.00, 1.35, 18.12, 28.19, 242.00, 0.00, 0.00, 0.95, 12.00, 1.00, 9.31, 0.38, 1028.00, 0.00, 0.00, 0.00, 0.00
 26, 369, 212, 138, 134, 144, 406.00, 49.00, 37.52, 0.00, 0.57, 0.00, 0.00, 1.13, 14.65, 22.17, 235.00, 0.00, 0.00, 0.98, 11.00, 1.00, 5.76, 0.10, 2533.00, 0.00, 0.00, 0.00, 0.00
 27, 178, 220, 86, 81, 93, 759.00, 55.00, 39.31, 0.00, 0.59, 0.00, 0.00, 1.13, 17.13, 28.91, 371.00, 0.01, 0.00, 0.91, 13.00, 1.00, 8.65, 0.94, 9526.00, 0.00, 0.00, 0.00, 0.00
 28, 161, 223, 93, 83, 103, 1774.00, 59.00, 47.40, 1.02, 1.18, 2.01, 1.74, 2.85, 22.11, 26.10, 811.00, 0.05, 2.95, 0.81, 21.00, 3.00, 13.31, 0.62, 32322.00, 0.00, 0.00, 0.00, 0.00
 29, 163, 233, 70, 61, 80, 1184.00, 70.00, 43.62, 1.46, 0.83, 1.80, 1.61, 2.22, 24.01, 38.54, 559.00, 0.03, 2.95, 0.79, 20.00, 2.00, 14.56, 0.40, 13261.00, 0.00, 0.00, 0.00, 0.00
 30, 172, 235, 98, 94, 103, 495.00, 66.00, 38.11, 0.00, 0.57, 0.00, 0.00, 0.90, 19.69, 28.45, 275.00, 0.06, 0.00, 0.87, 10.00, 2.00, 11.63, 0.21, 2457.00, 0.00, 0.00, 0.00, 0.00
 31, 171, 235, 86, 78, 96, 1256.00, 80.00, 46.81, 1.07, 0.91, 2.16, 1.76, 2.00, 29.31, 40.67, 600.00, 0.03, 0.39, 0.74, 19.00, 1.00, 20.31, 0.08, 10768.00, 0.00, 0.00, 0.00, 0.00
 32, 311, 240, 79, 56, 103, 4576.00, 71.00, 40.18, 1.17, 1.36, 1.56, 1.08, 6.40, 22.32, 29.88, 1635.00, 0.02, 0.98, 0.72, 48.00, 2.00, 15.05, 0.26, 254130.00, 0.00, 0.00, 0.00, 0.00
 33, 291, 242, 47, 41, 54, 758.00, 55.00, 36.30, 2.67, 0.61, 1.83, 1.18, 1.30, 15.86, 27.18, 365.00, 0.00, 1.96, 0.90, 14.00, 1.00, 7.21, 0.05, 9390.00, 0.00, 0.00, 0.00, 0.00
 34, 321, 245, 112, 104, 121, 839.00, 60.00, 39.84, 0.00, 0.66, 0.00, 0.00, 2.05, 18.75, 24.90, 413.00, 0.11, 0.00, 0.85, 18.00, 2.00, 10.01, 0.59, 9545.00, 0.00, 0.00, 0.00, 0.00
